Canada: Ontario	Wawa	80|6,79,E,3,0.00,30.27,Steady,night_clear.gif,Clear,1,3,1360287119,0.075
Illinois	Alma	33|48,91,WNW,13,0.10,29.88,Steady,night_cloudy.gif,Metar KSLO: Overcast,45,,1360287038,0.125
Illinois	Batavia	116|33,90,N,0,0.60,29.90,Steady,night_snow.gif,light snow mist,30,,1360287086,0.236
Illinois	Bloomington	120|36,90,NNW,0,0.01,29.00,Steady,night_partly_cloudy.gif,Partly Cloudy,33,2,1360287102,0.065
Illinois	Bourbonnais	110|35,95,WNW,7,0.35,29.88,Steady,night_cloudy.gif,Overcast,34,7,1360287117,0.223
Illinois	Centralia	69|48,83,WNW,0,0.11,29.89,Steady,night_light_rain.gif,Metar KENL: light Rain,43,,1360286633,0.264
Illinois	Chicago	119|34,96,ESE,0,0.68,29.85,Steady,night_partly_cloudy.gif,Partly Cloudy,33,0,1360287120,0.337
Illinois	Danville	20|42,91,WNW,9,0.13,29.82,Steady,night_rain.gif,Rain,40,4,1360287052,0.212
Illinois	Joliet	62|34,91,N,0,0.55,30.17,Steady,night_snow.gif,Metar KJOT: light Snow,32,,1360286935,0.085
Illinois	Joliet-2	95|34,97,NW,0,0.69,29.91,Steady,night_clear.gif,Clear,33,0,1360287111,0.238
Illinois	Morris	29|33,97,NW,3,0.69,29.89,Steady,night_clear.gif,Clear,33,4,1360287117,0.187
Illinois	Morrison	122|33,98,W,0,0.50,29.26,Rising Rapidly,night_clear.gif,Clear,32,2,1360287123,0.180
Illinois	Mt Prospect	87|31,93,N,6,0.23,29.87,Steady,night_snow.gif,Snow,29,6,1360287121,0.080
Illinois	Mulkeytown	82|51,86,NW,0,0.10,29.86,Rising Slowly,night_light_rain.gif,Metar KMDH: light Rain +Mist,47,,1360286899,0.040
Illinois	Naperville	117|33,98,N,0,0.68,29.92,Steady,night_snow.gif,light snow mist,32,4,1360287241,0.691
Illinois	Peotone	75|35,97,NW,0,0.51,29.90,Steady,night_light_rain.gif,Metar KIKK: Drizzle,34,,1360287074,0.181
Illinois	Stronghurst	37|36,94,NW,10,0.68,30.01,Rising Slowly,night_clear.gif,Clear,35,15,1360287115,0.756
Illinois	Woodridge	89|33,90,NNE,0,0.61,29.38,Steady,night_clear.gif,Clear,30,0,1360287181,0.352
Indiana	Muncie	40|47,66,SSE,4,0.00,24.25,Steady,night_clear.gif,Metar KMIE: Clear,36,,1360287042,0.123
Indiana	Newburgh	18|60,65,SW,4,0.00,29.82,Steady,night_cloudy.gif,Overcast,48,4,1360287075,0.190
