Parameters (Description)
^vxv001^              Wind Direction
^vhi001^              Wind Direction Daily Hi
^vht001^              Wind Direction Daily Hi Time
^vlo001^              Wind Direction Daily Lo
^vlt001^              Wind Direction Daily Lo Time
^vva001^              Wind Direction Running Average
^vda001^              Wind Direction Daily Avg
^vma001^              Wind Direction Month Avg
^vya001^              Wind Direction Year Avg
^vvr001^              Wind Direction Rate
^vrh001^              Wind Direction Rate Hi
^vrt001^              Wind Direction Rate Hi Time
^vrl001^              Wind Direction Rate Lo
^vrs001^              Wind Direction Rate Lo Time
^vmh001^              Wind Direction Monthly Hi
^vmd001^              Wind Direction Monthly Hi Date
^vml001^              Wind Direction Monthly Lo
^vme001^              Wind Direction Monthly Lo Date
^vyh001^              Wind Direction Yearly Hi
^vyd001^              Wind Direction Yearly Hi Date
^vyl001^              Wind Direction Yearly Lo
^vye001^              Wind Direction Yearly Lo Date
^vzh001^              Wind Direction Yesterday Hi
^vzt001^              Wind Direction Yesterday Hi Time
^vzs001^              Wind Direction Yesterday Lo Time
^vhv001^              Wind Direction 24hours ago
^vdv001^              Wind Direction 24hour difference
^uni001^              Wind Direction Units
^vxv002^              Wind Speed
^vhi002^              Wind Speed Daily Hi
^vht002^              Wind Speed Daily Hi Time
^vlo002^              Wind Speed Daily Lo
^vlt002^              Wind Speed Daily Lo Time
^vva002^              Wind Speed Running Average
^vda002^              Wind Speed Daily Avg
^vma002^              Wind Speed Month Avg
^vya002^              Wind Speed Year Avg
^vvr002^              Wind Speed Rate
^vrh002^              Wind Speed Rate Hi
^vrt002^              Wind Speed Rate Hi Time
^vrl002^              Wind Speed Rate Lo
^vrs002^              Wind Speed Rate Lo Time
^vmh002^              Wind Speed Monthly Hi
^vmd002^              Wind Speed Monthly Hi Date
^vml002^              Wind Speed Monthly Lo
^vme002^              Wind Speed Monthly Lo Date
^vyh002^              Wind Speed Yearly Hi
^vyd002^              Wind Speed Yearly Hi Date
^vyl002^              Wind Speed Yearly Lo
^vye002^              Wind Speed Yearly Lo Date
^vzh002^              Wind Speed Yesterday Hi
^vzt002^              Wind Speed Yesterday Hi Time
^vzs002^              Wind Speed Yesterday Lo Time
^vhv002^              Wind Speed 24hours ago
^vdv002^              Wind Speed 24hour difference
^uni002^              Wind Speed Units
^vxv003^              Wind Gust
^vhi003^              Wind Gust Daily Hi
^vht003^              Wind Gust Daily Hi Time
^vlo003^              Wind Gust Daily Lo
^vlt003^              Wind Gust Daily Lo Time
^vva003^              Wind Gust Running Average
^vda003^              Wind Gust Daily Avg
^vma003^              Wind Gust Month Avg
^vya003^              Wind Gust Year Avg
^vvr003^              Wind Gust Rate
^vrh003^              Wind Gust Rate Hi
^vrt003^              Wind Gust Rate Hi Time
^vrl003^              Wind Gust Rate Lo
^vrs003^              Wind Gust Rate Lo Time
